,job_title,skills,experience,job_requirement
0,Backend Full Stack Developer/Senior Developer,"['APIs', 'Computer Science', 'CSS', 'Full Stack', 'HTML', 'Information Technology (IT)', 'JavaScript', 'Software Development', 'Angular', 'Node.js', 'React']",2 To 4 Years,Degree in Computer Science. or relevant field  Experience from 2 to 4 years  Proven experience as a Full Stack  backend Development Deep knowledge of JavaScript frameworks (e.g. Angular. React. Node.js) Familiarity with Oracle databases Designing and developing APIs Fundamental front-end languages such as HTML. CSS. and JavaScript Cloud experience especially Oracle PaaS is a plus Oracle BPM. VBCS. PCS. and OIC knowledge is a plus Good problem-solving skill An analytical mind Excellent communication and teamwork skills  
1,Senior Product Engineer - Web Development (Full-Stack),"['Architecture', 'Computer Science', 'Engineering', 'Full Stack', 'Information Technology (IT)', 'NodeJS', 'React', 'Software Development', 'Kubernetes', 'Software Engineering', 'Software']",More Than 2 Years,You should have Proven experience as a Product Engineer. Full Stack Developer. or a similar role. Experience shipping features to a large user base. Deep knowledge of React and NodeJS. An understanding of microservices architecture. Production experience with GraphQL APIs. Experience in Container Technologies and Kubernetes. Knowledge about testing tools like Jest. Cypress. or others. Nice to have Knowledge about Firebase. Experience working with Typescript.
2,Full Stack Mid-Level Developer,"['Computer Science', 'Full Stack Development', 'front-end web development', 'Web Development', 'Angular', 'HTML', 'CSS', 'Information Technology (IT)', 'MongoDB', 'MySQL', 'Software Development', 'JavaScript', 'SQL', 'React', 'Computer Engineering']",2 To 3 Years,Degree in computer science. Strong organizational and project management skills. Proficiency with fundamental front-end languages such as HTML. CSS. and JavaScript. Familiarity with JavaScript frameworks such as Angular and React. Proficiency with server-side programming using .Net core framework. Familiarity with database technology such as MySQL. MS SQL server. and MongoDB. Excellent verbal communication skills. Good problem-solving skills. Attention to detail.
3,Full Stack Developer,"['Computer Science', 'Full Stack', 'JavaScript', 'Node.js', 'React', 'Development', 'Information Technology (IT)', 'Software Development']",1 To 5 Years,1-5 years of experience 
4,Full Stack Magento Developer,"['Full Stack', 'Information Technology (IT)', 'Magento', 'PHP', 'JavaScript', 'Computer Science', 'Software Development']",More Than 4 Years,.
5,Senior .Net Full Stack Developer,"['.NET', 'javaScript', 'C#', 'Angular', 'HTML', 'CSS', 'SQL', 'Software Development', 'React', 'Git', 'Computer Science', 'Information Technology (IT)', 'Azure', 'Full Stack']",3 To 5 Years,B.Sc. degree in Computer Science or similar Problem-solving attitude Strong organizational and project management skills. Proficiency with fundamental front-end languages such as HTML. CSS and JavaScript. Familiarity with JavaScript frameworks such as Angular and React. Proficiency with server-side languages such as C#. .Net framework and .Net Core Familiarity with database technology such as MS SQL and NoSQL DB Proficiency with Git source control Experience with the CI and deployment over MS Azure is a plus Excellent verbal communication skills. Good problem-solving skills. Attention to detail. Team spirit
6,Full Stack Developer,"['Full Stack', 'Software Development', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Software', 'javaScript', 'PHP', 'Angular', 'React', 'HTML', 'CSS']",3 To 6 Years,Qualifications  Bachelor in Computer engineering. or computer science  +5 years of experience As a Full Stack Developer. you should be comfortable around both front-end and back-end coding languages. development frameworks. and third-party libraries.  You should also be a team player with a knack for visual design and utility.  Participating in the design and creation of scalable software.  Writing clean. functional code on the front- and back-end.  Testing and fixing bugs or other coding issues with excellent communication and teamwork skills.  Great attention to detail. organizational skills. and analytical mind. Basic Skills Proven experience as a Full Stack Developer  Proven experience in the back-end programming language (ASP.net. ASP core) Familiarity with databases (MySQL or  PostgreSQL or MS SQL).  Familiarity web servers (Apache) Proven experience in the front-end languages and libraries ( HTML/ CSS. JavaScript. XML. jQuery) Working with hardware (e.g.. communication devices. cameras. …) Plus Skills back-end programming language (e.g.#. PHP. Python) Familiarity with databases (e.g.. MongoDB). web servers (e.g. Nginx) Proven experience in front-end languages and libraries (e.g.. react. angular) Knowledge of GIS  Web development framework  (e.g. laminas) Experience developing desktop or mobile applications  
7,Full Stack Developer,"['JavaScript', 'MVC', 'Full Stack', 'API', 'Web API', 'Software Development', 'OOP', 'SQL', 'vuejs', 'Angular']",3 To 5 Years,Proven experience as a Full Stack Developer Solid knowledge of OOP and OOD principles Solid knowledge of design patterns Experience in .Net. MVC. Web API and .Net Core Good Knowledge in MS Sql Server & TSQL Experience in javascript Experience in Angular and/or vuejs frameworks Excellent organizational skills Attention to details
8,Full Stack PHP Developer,"['JavaScript', 'SCSS', 'PHP Laravel', 'PHP', 'WordPress', 'HTML5', 'Laravel', 'English', 'Information Technology (IT)', 'Software Development', 'Computer Science', 'Software Engineering']",More Than 2 Years,A degree in computer science or equivalent. 2+ years of experience in PHP Laravel. 2+ years of experience in JavaScript Frameworks. Experience in SCSS. and HTML5.  Experience with templating engines like Blade. Experience in WordPress is a plus.  Excellent English & Communication Skills.
9,Full Stack Developer,"['Web', 'Software Development', 'Web Development', 'Web Application', 'SQL', 'Microsoft SQL Server', 'Microsoft .NET', 'C#', 'HTML', 'CSS', 'JS', 'JQuery', 'Bootstrap', 'React.js', 'ASP.net MVC', 'JavaScript', 'Typescript', 'Information Technology (IT)', 'Computer Science', 'ASP.Net', '.Net']",More Than 2 Years,2+ Experience with  C#. .NET Framework. Designing and developing APIs. 2+ Year's experience in MS SQL Server. Using T-SQL and Reporting Services. ASP.NET Core is a plus. Experience with front end technologies and libraries (React JS.HTML. CSS. JS & JQuery. bootstrap...etc) . Strong object-oriented design and analysis skills Fast learner and flexible towards trying new technologies. Strong written and verbal communication skills. Ability to work accurately. with interruptions. to meet deadlines. Leadership. planning. and problem-solving skills. Good organizational. time management. Ability to set priorities. Knowledge of database architecture and design.
10,Full Stack Developer,"['NodeJS', 'JavaScript', 'Software Development', 'Communication skills', 'Computer Science', 'English', 'Information Technology (IT)', 'PostgreSQL', 'ReactJS', 'Software', 'Software Engineering']",More Than 2 Years,A degree in computer science or equivalent. 2+ years of experience in Nodejs & Reactjs. Experience in Test-driven development and PostgreSQL. Excellent English & Communication Skills.
11,Full Stack .Net/Angular Developer,"['Computer Science', 'Information Technology (IT)', 'Software Development', 'javaScript', 'Angular', '.Net', 'Full Stack', 'Azure', 'HTML5', 'CSS3', 'SASS']",More Than 3 Years,3+ years of experience.
12,Senior Full Stack Developer,"['Computer Science', 'Information Technology (IT)', '.Net', 'Angular', 'CSS', 'HTML', 'JavaScript', 'jQuery', 'MVC', 'Software Development', 'SQL', 'Web Development']",5 To 7 Years,Candidate must have at least 5 years of solid web development experience. Strong knowledge of C# and the .NET Framework. Solid experience in ASP.Net Web Forms. ASP.Net MVC. Proficient understanding of Angular any version 4.5 or 6 Strong experience working with MS SQL Server Databases and Stored Procedures. Strong experience in Responsive Bootstrap. HTML 5. CSS 3. jQuery and JavaScript. Strong background in designing/consuming Web Services and REST APIs using WCF. ASP.Net MVC Web APIs and NodeJS. Solid understanding of the MVC design pattern. Knowledge of Xamarin forms development and cross-platform application development is a Plus.
13,Full Stack Web Developer - C# ASP.NET - Alexandria,"['Information Technology (IT)', 'Computer Science', '.NET', 'C#', 'javaScript', 'Angular', 'MVC', 'HTML5', 'Engineering', 'Software Development', 'ASP', 'CSS3', 'Agile', 'ASP.NET', 'React', 'Computer Engineering', 'Telerik', 'ITI', 'Kendo', 'React.js', 'Angular.js', 'Vue.js', 'API']",2 To 6 Years,Candidate with BSc in computer science or Engineering with excellent experience as Developer in: ASP .Net Core ASP MVC 4 and above Entity Framework (Code First. DB First approaches) C# .NET development SQL Server (Relational Database. Stored Procedures) API and Web services Agile methodology Experience in any one of the modern JavaScript frameworks (React.js. Angular.js. Vue.js ... etc.) HTML5 and CSS3 Preferable kendo-UI (Telerik component) Mobile development is a plus. Reporting Tools(like: SSRS. Telerik Reporting. Crystal Report..) Web Security Standard knowledge (OWASP) Source Control Solution ( Azure DevOps. TFS...)
14,Senior Full Stack Developer (Full Time Office Based),"['Information Technology (IT)', 'Computer Science', 'javaScript', 'CSS', 'PHP', 'MySQL', 'HTML5', 'MongoDB', 'Angular', 'Software Development', 'Agile', 'React', 'SEO', 'Node Js', 'CodeIgniter', 'Express.JS', 'Angular +2', 'CSS3', 'WordPress']",More Than 3 Years,3+ years of experience of website development experience in a team environment. Strong organizational and project management skills. Experience developing user-friendly. responsive. and appealing websites following modern development standards and workflows. Proficiency in fundamental front-end languages such as HTML5. CSS3. and JavaScript. Experience in CSS frameworks like bootstrap. Familiarity with JavaScript frameworks such as Angular +2. React. Proficiency in server-side languages such as PHP. Node Js. Python. Experience in PHP frameworks like laravel. CodeIgniter. Experience in Node Js frameworks like express js. Familiarity with database technology such as MySQL and MongoDB. knowledge of computer science basics like Algorithms. Data Structures. Good understanding of SEO principles if possible and ensuring that applications will adhere to them. Experience in WordPress is a must  Ability to manage dedicated servers  Ability to manage multiple deadlines and time-sensitive deliverables. Excellent verbal communication skills. Good problem-solving skills. Be constantly experimenting and innovating. Familiarity with agile development methodologies. Previous development agency experience preferred.
15,Senior Frontend JS Developer- React,"['Information Technology (IT)', 'Front-End', 'Git', 'RESTful', 'Typescript', 'Computer Science', 'Software Development', 'javaScript', 'APIs', 'RESTful APIs']",2 To 5 Years,Experience with Typescript  Experience with Server Side Rendering  Docker Familiarity with RESTful APIs to connect Front-end to back-end services. Git
16,Front-end Developer,"['frontend', 'JavaScript', 'Software Development', 'ASAP', 'Angular', 'CSS', 'quality', 'Information Technology (IT)', 'Communication skills', 'Computer Science']",More Than 1 Year,1+ years of experience in a front-end development role. Understanding of the entire web development process. with an emphasis on front-end design and development. Strong knowledge in HTML. CSS. Native JavaScript. bootstrap Framework. A strong experience in Angular up to v.11 framework. Has a strong experience in RXJS. Has strong experience in material design or Angular material. Ability to interpret and implement web designs. Strong communication skills to effectively collaborate with designers. developers. and the quality assurance team. Willingness to troubleshoot and solve complex problems. Ability to manage multiple projects and meet deadlines. Ability to build an application from scratch Flexibility to adapt to changing instructions and requirements Portfolio or samples of past work and projects Ability to join us ASAP.
17,Senior Frontend Developer (React js),"['Frontend', 'React', 'Javascript', 'HTML', 'CSS', 'Team Leader', 'Agile', 'Software', 'Software Development', 'Computer Science', 'Information Technology (IT)', 'Engineering', 'Computer Engineering', 'Angular', 'Git', 'REST APIs', 'Design Patterns', 'Unit Testing', 'Backend', 'Nodejs', 'Golang']",More Than 4 Years,Bachelor degree in the areas of Computer Science/Computer Engineering. Engineering or any other related fields 4+ years of experience in front development Good command of English Technical Skills: Expert in javascript. HTML and CSS. Expert in React js Experience in Angular or Vue js is a plus. Experience in Backend development is a plus like Nodejs. Golang. Experience in unit testing Strong understanding of software development life cycle. agile methodologies Strong understanding of design patterns. Strong understanding of REST APIs. Experience in building single page applications Experience in GIT. Interpersonal skills: Communication Teamwork Attention to details Analytical thinking & Problem-solving Time management
18,Mid-Level Frontend Developer - Angular,"['Information Technology (IT)', 'Software Development', 'Computer Science', 'Software Engineering', 'Angular', 'CSS', 'Agile', 'Git', 'Bootstrap', 'APIs', 'REST', 'CI', 'CD', 'pre-processor', 'SASS', 'Front-End', 'TFS', 'Angular2+', 'Angular 5', 'Rxjs', 'Redux', 'javaScript', 'HTML', 'JSON']",1 To 3 Years,BSc computer science (or equivalent) degree is nice to have. Min one year of front-end development Have a solid experience in angular 2+(RxJs. Redux. Styling & testing) Have deep experience in JavaScript. typescript. HTML/CSS . flexbox and bootstrap Experience working with remote data via RESTful and JSON and security Know how to write code that performs at scale. Experience in developing a user-friendly and appealing website. Experience building Web and Mobile Apps in Angular Experience with modern front-end libraries (Angular. Bootstrap.etc...) Experience working on single-page applications. Experience integrating with REST APIs including third parties Facebook. Twitter. google etc. Familiarity with  CI/CD. Familiarity with agile development methodologies Be constantly experimenting. Have hands on Git or similar source code Team player Good time-management skills Great interpersonal and communication skills
19,Senior Frontend Developer- React JS,"['Computer Science', 'HTML', 'Information Technology (IT)', 'CSS', 'JavaScript', 'React', 'Redux', 'Software', 'Programming', 'Software Development', 'Web Applications']",More Than 5 Years,Job Requirements: 5+ years’ experience building web applications. Proficiency with HTML. CSS. JavaScript. Experience working with React/Redux framework. Excellent communication skills. both written and verbal with proven ability to communicate across cultures and geography. Basic understanding of football. Team player. self-motivated. hard-working. Nice to haves: Knowledge of graphics software such as SketchApp and Zeplin. Experience with functional programming. Experience with RxJS.  Benefits: Attractive Package. Stock Option. Social Insurance. Medical Insurance. Flexibility to work from home.   
20,Senior Frontend Web Developer,"['HTML5', 'Laravel', 'CMS', 'Sketch', 'Figma', 'InVision', 'Linux', 'Computer Science', 'Information Technology (IT)', 'Bootstrap', 'Angular', 'Agile', 'CSS3', 'Git', 'PHP', 'JavaScript', 'Software Development', 'Web Development']",5 To 7 Years,QUALIFICATIONS  5+ years of website development experience in a team environment Computer Science degree. or significant equivalent experience Experience developing user-friendly. responsive and appealing websites following modern development standards and workflows Expertise in rendering page designs (Photoshop. Sketch. Figma or InVision) into responsive web pages (HTML5. Bootstrap 4. PHP. CSS3. and JavaScript) Strong knowledge of build tools (npm. Gulp or Grunt). version control (Git). and Docker Proven experience in Sass including mixins. variables. functions. and performance optimizations using tools such as Lighthouse and  WebPageTest Strong working knowledge of CMS platforms including WordPress. Drupal and Laravel Capable of using Linux tools and commands to develop on the LAMP stack Understanding of semantic markup and experience with accessibility standards such as WCAG and ADA Experience with cross-platform and cross-browser testing and working closely with quality control engineers Familiarity with agile development methodologies Experience working within Atlassian products such as Jira and Confluence Working knowledge of Angular and/or React VALUES & COMPETENCIES  Critical thinker with strong attention to details Flexible and adaptable with proven problem-solving ability Positive attitude and high degree of professionalism and integrity Strong written and verbal communication and collaboration skills Demonstrated accountability and reliability in the quality and timeliness of work Ability to work well within a distributed team as well as independently How to apply Upload your resume and complete your profile here Follow the link below to complete our assessment: https://assessment.testgorilla.com/testtaker/publicinvitation/266ad6c5-6e92-4976-8586-6eb727066506  
21,Frontend Developer,"['Information Technology (IT)', 'Computer Science', 'Software Development', 'Web Development', 'javaScript', 'Vue.js', 'CSS', 'HTML5', 'Git', 'LESS', 'jQuery']",More Than 2 Years,Essential Qualifications and Experience: 2+ years of experience in the same position. Skills and Qualifications: Proficient understanding of web markup. including HTML5. CSS3 Basic understanding of server-side CSS pre-processing platforms. such as LESS and SASS Proficient understanding of client-side scripting and JavaScript frameworks. including jQuery Good understanding of Vue.js Good understanding of asynchronous request handling. partial page updates. and AJAX Basic knowledge of image authoring tools. to be able to crop. resize. or perform small adjustments on an image. Familiarity with tools such as as Gimp or Photoshop is a plus. Proficient understanding of cross-browser compatibility issues and ways to work around them. Proficient understanding of code versioning tools. such as Git  Good understanding of SEO principles and ensuring that application will adhere to them.
22,Front-End Developer - Vue.js,"['Engineering', 'Computer Science', 'Information Technology (IT)', 'Software Development', 'J2EE Design', 'SOA', 'Microservices', 'J2EE', 'NoSQL', 'Oracle', 'Microsoft SQL Server', 'Angular 5.0', 'Software', 'Project Management', 'Business Administration', 'Computer Engineering', 'Vue.js', 'javaScript', 'HTML', 'CSS', 'Vue', 'JS', 'Programming']",More Than 3 Years,Essential Qualifications and Experience: Bachelor degree in computer engineering. information technology. computer science or any related discipline. 3+ years of experience in the same position./ Technical skills: Proficient in Vue.js. JavaScript. HTML & CSS. Understanding of server-side rendering and its benefits and use cases. Knowledge of functional programming and object-oriented programming paradigms. Preferable with a design background. Personal skills & Qualifications / Experience: Strong analytical & Presentation skills Planning & time management skills Organizing & prioritizing skills Communication& problem solving skills. Work under pressure. Innovation.
23,Front-End Senior Developer,"['Information Technology (IT)', 'Angular', 'Computer Science', 'CSS', 'Engineering', 'HTML', 'JavaScript', 'Software Development', 'Software Engineering', 'Web Development', 'Front End']",4 To 6 Years,Ability to work in a fast-paced and agile development environment 4-6 years of professional experience in software development preferably in production teams close to the customer Strong working experience in front end web technologies and frameworks: React.js and/or Vuejs. HTML. CSS. Javascript Experience integrating with RESTful and GraphQL APIs Experience in state management libraries like Redux Experience working with source and version control management systems like Git and TFS Experience with common front-end development tools (e.g. Babel. Web pack. NPM) Experience with other web development frameworks. like Nextjs. Vuejs. Angular.js. and/orIonic. is a huge plus Working experience in Agile delivery teams is a plus Knowledge of modern authorization mechanisms. such as but not limited to. JWT and OAuth Knowledge of software engineering best practices and tools A University degree (BSc) in Software Engineering or similar background is preferred. Good command of English (written and verbal)
24,Senior Front-End Developer,"['UI', 'UX', 'Design', 'HTML5', 'CSS3', 'Information Technology (IT)', 'Computer Engineering', 'Computer Science', 'Software Development', 'Management', 'UI/UX', 'Photoshop', 'Illustrator', 'CSS', 'javaScript', 'UX Designer', 'Front End']",More Than 4 Years,4+ years of experience as a Front end Developer Bachelor’s degree in relevant field Excellent interpersonal and communication skills Detail oriented Critical thinker Problem solver and customer-centered
25,Senior Front-End Developer (Angular),"['Computer Science', 'Computer Engineering', 'Information Technology (IT)', 'UI', 'Front-End', 'Web Performance', 'HTML5', 'CSS3', 'Bootstrap', 'CSS', 'Angular', 'React', 'ASP', 'CSS Preprocessor', 'LESS', 'SASS', 'ASP Web Applications', 'Design', 'javaScript', 'HTML', 'Software Development', 'ASP Web']",More Than 5 Years,The best candidate should have: Qualifications: BSc in Design. Computer Science or relevant field. +5 years' work experience as a UI / Frontend developer. Experience in building big complex responsive websites. Experience in Responsive Programming. Web Performance. Browsers Compatibility. Proficient understanding of web markup. including HTML 5. CSS3 Proficient with Bootstrap and CSS Pre-processor such as Sass. LESS. Ability to discuss and explain design options. Exceptionally good coder with high familiarity in server-side web frameworks. Significant knowledge of visual aesthetic components and elements such as fonts. layout. color. graphics etc. A keen understating of user interaction and design principles and standards. Highly familiar with cross-browser compatibility issues and demonstrate design and user interface/user experience skills. Experience in Angular is a must. Experience in React is a plus. Experience in ASP web applications is a plus. Great passion for learning new technologies. Skills: Organized and have an ability to multi-task and meet tight deadlines. Creative and strategic Skills. Strong communication skills (both verbal and written). People person who inspires trust and confidence in others. Self-Motivated and committed. Problem solver and customer-centered.
26,Frontend Developer (Cairo),"['HTML5', 'CSS3', 'CSS', 'Information Technology (IT)', 'Js', 'SEO', 'Computer Science', 'Angular', 'Sass', 'Responsive Design', 'JavaScript', 'Software Development']",More Than 2 Years,Proficient understanding of web markup. including HTML5. CSS3. Basic understanding of CSS pre-processing platforms. such as SCSS and SASS. Proficient understanding of client-side scripting and JavaScript frameworks. especially angular 2+ and angular JS. Experience with responsive and adaptive design. Understanding of SEO principles. A passion for solving problems and providing workable solutions .               Knowledge of algorithms and data structures. Excellent analytical and multitasking skills. BSc degree in Computer Science or relevant field. 2+ years of experience. 
27,Front-End Developer,"['Angular +2', 'HTML5', 'CSS', 'javaScript', 'Front End', 'Front-End', 'Software Engineering', 'Software Development', 'Information Technology (IT)', 'SASS', 'ES6', 'HTML', 'Angular', 'Zeplin', 'UI', 'UX', 'Computer Science', 'Design', 'APIs']",More Than 1 Year,Experience 1 year or more. Knowledge of modern client-side technologies. such as HTML5 + APIs. CSS + Preprocessors (SASS). modern JavaScript (ES6) and responsive design techniques. Knowledge of Angular +2 is must. Collaborate with designers to optimize design for the best UX with the most usable UI components. Knowledge with the best practices of Angular. Familiar with Zeplin is a plus. Experience with Angular Material is a plus. Designing beautiful. rich responsive applications that are as engaging as they are shareable. Experience in designing and writing modular and reusable components. Understanding of PWA is a plus. Experience with version control using Git & Github. Stay up to date with current frameworks. tools. techniques. and libraries.
28,Senior Frontend / Vue.Js Developer,"['Less', 'Sass', 'Git', 'Design', 'VUEJS']",More Than 4 Years,Highly proficient with the JavaScript language and its modern ES6+ syntax and features . Highly proficient with Vue.js framework and its core principles such as components. reactivity. and the virtual DOM . Worked on large-scale. e-services projects and have the ability to design scalable. maintainable large apps. Able to deliver responsive UI interfaces. Experience in UX and picks his choices carefully and based on science. Cares about Code cleanliness and follows community guidelines to deliver high quality code. Deep knowledge of Git version control. Excellent troubleshooting and debugging skills. Familiar with UnitTesting and e2e testing. Familiarity with the Vue.js ecosystem. including Vue CLI. Vuex. Vue Router. and Nuxt.js . Good understanding of HTML5 and CSS3. including (Sass or Less depending on your technology stack ) . Understanding of server-side rendering and its benefits and use cases . Knowledge of functional programming and object-oriented programming paradigms . Ability to write efficient. secure. well-documented. and clean JavaScript code . Familiarity with automated JavaScript testing. specifically testing frameworks such as Jest or Mocha . Proficiency with modern development tools. like Babel. Webpack. and Git  . Experience with graphql 
29,Senior Front-end Developer (Remote/WFH),"['JavaScript', 'React', 'Software Development', 'Information Technology (IT)', 'Computer Science', 'CSS', 'Design', 'UI/UX', 'UX', 'Front End', 'Back End', 'Software', 'Software Engineering']",More Than 3 Years,What you have 3+ years of relevant experience Extensive knowledge of front-end technologies. including JavaScript. CSS. and HTML Extensive knowledge of various debugging and testing processes Working experience with React library Excellent spoken and written English communication skills What’s good to have Proficiency in advanced coding techniques and cross-platform development Working knowledge of technologies such as Mobx. Gatsby. WebSocket. and styled-components Experience with Git Understanding of UI/UX design processes Working knowledge of open-source platforms like Linux Familiarity with back-end technologies and processes What we’ll give you Exciting work challenges Dynamic collaboration with international teams Training sessions and webinars to help you advance your career Competitive hourly salary in the payment method of your choice
30,Senior Backend Developer NodeJS,"['back-end', 'Software Development', 'Node.js', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Software', 'Software Engineering']",3 To 5 Years,Strong computer science fundamentals including data structures. algorithms. complexity analysis. and distributed systems. Proven experience as a backend engineer. From 3:5 years of experience as a Backend Developer. Very good English command is a must. Ability to work in a remote setup. Ability to independently own and deliver features from start to finish. Understand both how to write tests and the value of automated testing. Experience with all phases of the software development life cycle. best practices. and Agile Software Development. Solid software design knowledge – you should know how to create software that’s extensible. reusable. and meets desired architectural objectives. Experience with Node.js. Express. GraphQL. and the willingness to learn new technologies. Establish Back-End Software Engineer best practices. Knowledge of SQL database systems and NoSQL databases (PostgreSQL). Experience with CI/CD processes and tools (e.g. CircleCI. Github Actions). Experience with containerization technologies (e.g. Docker). Experience with AWS is a plus (e.g. ECS. S3. etc…). Experience with Functional and Reactive programming is a plus (e.g. RxJS. IxJS. Ramda. Lodash). Experience with stream and batch processing real-time systems is a plus.
31,Web Back-End Developer,"['back-end', 'PHP', 'CSS', 'HTML', 'Information Technology (IT)', 'Laravel', 'Computer Science', 'Programming', 'Web Development', 'MVC', 'Software Development', 'JavaScript']",2 To 3 Years, We are looking for Web Back-End Developer to work in our office located in New Cairo . • 2 -3    years web development experience • 1+ year experience using laravel framework • Good knowledge in API implementation • Experience with PHP programming language. • Good knowledge of MVC . PHP framework. • Familiar with HTML. CSS. and JavaScript . • Critical thinker and problem-solving skills • Familiarity with concepts of CPanel. • JS Framework is a plus. • Fluency in English (Speaking and Writing(  • Team player • Good organizational and time-management skills
